idstr,result,success
bglfhzmqjmqubwhowheccpjuulldev,64,True
bglwqltiptdpkxydgkjlrenpbnqdep,36,True
bgmikqsgierqoeodrntuqoodfogrrz,56,True
bgnyydfvdalrrhublxdodpmikpdxdg,184,True
bgpnpttfcbbjornksgvebksbqytdrq,36,True
bgqswghhawuxgqksfwzmscjmowilxw,53,True
bgsbirixtgcyktiddyothpxksklorz,73,True
bguvtecebsgpultxcqaydpngbvaiil,64,True
bgwqhvfgkqgpygfomekohwsidvvhra,40,True
bgwxfbfzuluwxochlmeglsdqkmlcjk,78,True
bhasxlktfftxcjadedvkjceyzibunp,56,True
bhbpfydduagomcqrjtibicisepysle,199,True
bhbryamukgcssusrrbyfbmlkktncrb,204,True
bhbyykmcicqcnqbbfuofidrzdwslgc,70,True
bhczkcjkhxzsrbyesgraouhnavspvf,136,True
bhejexakgxpqsepmjmmyoprtmfoydz,38,True
bhgobjofswcascyftrpoecblijcshf,145,True
bhgwlwbkqafwsotxkszhlvghygrazd,94,True
bhhuoajmvraucpiqgtdbdduboqrfyz,59,True
bhilsjaykgaopqoupycuwndizkjetk,41,True
bhjcjsfhrivxzetravvoinjfldaglj,67,True
bhmntdrhnqfnovlppcbyotitasnauw,46,True
bhqalbnuzcsdiqieqprzzevjdbjklj,66,True
bhqdbsaurcwjiektmmoxdmzbeosvik,264,True
bhsahykelfwqennzpkbtolnugcvqit,65,True
bhsdtzzurtjluuabmjrmaillyzofzp,37,True
bhvbvkizpfluptmhsxudguowyrauje,47,True
bhzjftlxciptlelrfdbafwclwigrxi,38,True
bicsgrmjblvxkbcecfqgftclebwase,92,True
bidaglrssazthotnarmvyglolgvhwz,40,True
